gene,drug,interaction
620,1147,1.0
454,590,1.0
229,1148,1.0
722,293,1.0
845,1149,1.0
846,1150,1.0
847,1151,1.0
119,1152,1.0
653,1153,1.0
16,1155,1.0
849,1156,1.0
850,1156,1.0
851,1157,1.0
20,923,1.0
832,180,1.0
830,312,1.0
853,312,1.0
317,312,1.0
761,312,1.0
854,1158,1.0
348,659,1.0
526,1160,1.0
830,1161,1.0
80,1161,1.0
856,1162,1.0
857,1163,1.0
400,117,1.0
154,1164,1.0
330,117,1.0
216,1165,1.0
858,1166,1.0
659,1167,1.0
438,1168,1.0
167,1169,1.0
438,1170,1.0
859,1171,1.0
480,1172,1.0
860,1172,1.0
234,1172,1.0
98,158,1.0
20,86,1.0
282,1173,1.0
861,1174,1.0
828,1175,1.0
145,1176,1.0
292,455,1.0
862,1177,1.0
171,186,1.0
863,1178,1.0
459,1179,1.0
250,1180,1.0
837,1091,1.0
834,1181,1.0
138,1182,1.0
864,1183,1.0
223,663,1.0
172,1184,1.0
400,1184,1.0
75,613,1.0
216,1165,1.0
589,1028,1.0
95,1187,1.0
438,1168,1.0
332,1188,1.0
167,1169,1.0
459,1189,1.0
517,565,1.0
438,565,1.0
91,1189,1.0
282,1024,1.0
93,1190,1.0
93,1191,1.0
138,1192,1.0
454,590,1.0
332,344,1.0
866,1193,1.0
859,1194,1.0
526,340,1.0
867,1195,1.0
868,1196,1.0
869,1198,1.0
870,1199,1.0
871,307,1.0
694,1201,1.0
873,1203,1.0
874,310,1.0
875,1204,1.0
281,332,1.0
317,332,1.0
281,1037,1.0
273,1037,1.0
876,1205,1.0
519,307,1.0
412,1206,1.0
518,307,1.0
466,600,1.0
80,307,1.0
877,1207,1.0
91,307,1.0
879,1209,1.0
880,1209,1.0
881,1210,1.0
520,1211,1.0
840,1212,1.0
844,1146,1.0
454,1211,1.0
522,1213,1.0
552,1214,1.0
27,1215,1.0
501,1217,1.0
15,1211,1.0
352,1218,1.0
882,1213,1.0
883,1219,1.0
523,1105,1.0
884,1220,1.0
886,1221,1.0
888,307,1.0
889,269,1.0
303,1222,1.0
352,1223,1.0
847,1224,1.0
890,1225,1.0
147,1226,1.0
24,1077,1.0
77,1227,1.0
717,1228,1.0
884,1230,1.0
408,1233,1.0
892,1234,1.0
599,1235,1.0
703,1236,1.0
330,1237,1.0
893,1238,1.0
138,1239,1.0
58,1240,1.0
633,421,1.0
180,1241,1.0
138,462,1.0
60,1242,1.0
894,376,1.0
633,1242,1.0
703,1243,1.0
895,1244,1.0
93,1245,1.0
255,1246,1.0
653,1153,1.0
896,675,1.0
897,1249,1.0
898,675,1.0
262,1250,1.0
899,1251,1.0
900,1252,1.0
371,675,1.0
116,578,1.0
901,675,1.0
902,1253,1.0
903,1254,1.0
840,1255,1.0
904,675,1.0
756,675,1.0
906,1257,1.0
837,1258,1.0
5,1259,1.0
780,1260,1.0
4,1261,1.0
648,1262,1.0
907,1263,1.0
908,116,1.0
16,1264,1.0
909,1265,1.0
344,116,1.0
910,1266,1.0
896,472,1.0
911,1267,1.0
694,1268,1.0
202,686,1.0
558,719,1.0
756,1268,1.0
912,1269,1.0
374,1268,1.0
913,1270,1.0
95,1271,1.0
904,1268,1.0
234,1273,1.0
915,1268,1.0
916,1274,1.0
917,1268,1.0
918,1275,1.0
437,1276,1.0
42,1277,1.0
133,145,1.0
919,1277,1.0
785,1278,1.0
920,145,1.0
785,1100,1.0
922,1281,1.0
704,980,1.0
923,1282,1.0
924,1283,1.0
543,1284,1.0
119,1285,1.0
547,698,1.0
494,1288,1.0
341,1289,1.0
93,1290,1.0
926,1291,1.0
927,1293,1.0
928,1294,1.0
556,1296,1.0
217,48,1.0
257,1298,1.0
655,48,1.0
930,1299,1.0
281,1300,1.0
253,1301,1.0
707,348,1.0
931,1302,1.0
330,1303,1.0
75,1304,1.0
50,232,1.0
932,1305,1.0
292,397,1.0
208,1306,1.0
784,1094,1.0
933,1307,1.0
934,1308,1.0
42,445,1.0
935,1306,1.0
936,1306,1.0
937,1310,1.0
147,1311,1.0
938,1312,1.0
49,270,1.0
939,1314,1.0
281,1316,1.0
487,1317,1.0
941,1318,1.0
433,1319,1.0
942,1320,1.0
943,1318,1.0
944,1321,1.0
525,1322,1.0
945,1323,1.0
848,1324,1.0
946,1325,1.0
165,1326,1.0
947,1327,1.0
948,1328,1.0
949,1329,1.0
949,1330,1.0
949,84,1.0
121,1331,1.0
386,1332,1.0
386,393,1.0
99,1333,1.0
950,1334,1.0
950,306,1.0
951,1335,1.0
253,1336,1.0
950,236,1.0
510,1337,1.0
952,1338,1.0
267,76,1.0
953,1339,1.0
954,1340,1.0
953,1341,1.0
955,1342,1.0
955,393,1.0
426,75,1.0
426,1342,1.0
253,1343,1.0
267,548,1.0
956,1344,1.0
956,1345,1.0
867,1346,1.0
294,1347,1.0
294,1348,1.0
204,792,1.0
204,1045,1.0
204,1350,1.0
958,1352,1.0
958,1353,1.0
959,1353,1.0
960,1354,1.0
961,1355,1.0
962,1356,1.0
961,1357,1.0
961,137,1.0
964,1358,1.0
965,1359,1.0
966,1361,1.0
967,1362,1.0
968,1363,1.0
787,886,1.0
42,1364,1.0
169,1365,1.0
916,1366,1.0
969,1367,1.0
969,1368,1.0
970,1369,1.0
303,1370,1.0
971,1372,1.0
971,338,1.0
296,1373,1.0
296,984,1.0
313,1375,1.0
371,221,1.0
371,1376,1.0
973,1377,1.0
371,1378,1.0
975,1379,1.0
978,1381,1.0
123,1382,1.0
123,1384,1.0
123,1385,1.0
979,1386,1.0
980,1387,1.0
981,333,1.0
981,1388,1.0
982,1389,1.0
982,1390,1.0
206,1392,1.0
875,1393,1.0
206,1394,1.0
984,1395,1.0
